iter	Passed	Remaining
0	191	18926
1	208	10231
2	231	7481
3	253	6080
4	268	5107
5	288	4520
6	309	4111
7	327	3766
8	345	3494
9	373	3357
10	389	3150
11	429	3149
12	442	2962
13	462	2843
14	481	2729
15	505	2652
16	524	2561
17	544	2481
18	564	2406
19	586	2347
20	607	2284
21	627	2223
22	650	2177
23	669	2121
24	693	2081
25	732	2083
26	756	2044
27	776	1997
28	796	1950
29	816	1904
30	828	1843
31	850	1806
32	879	1785
33	899	1745
34	920	1710
35	1088	1935
36	1126	1918
37	1155	1885
38	1184	1853
39	1203	1804
40	1222	1759
41	1242	1716
42	1299	1722
43	1318	1678
44	1345	1644
45	1367	1605
46	1380	1556
47	1400	1517
48	1424	1482
49	1444	1444
50	1461	1403
51	1478	1364
52	1499	1329
53	1518	1293
54	1537	1257
55	1554	1221
56	1570	1185
57	1589	1150
58	1606	1116
59	1624	1083
60	1644	1051
61	1664	1020
62	1685	990
63	1709	961
64	1730	931
65	1750	901
66	1776	875
67	1815	854
68	1834	824
69	1852	793
70	1901	776
71	1920	747
72	1939	717
73	1957	687
74	1979	659
75	1997	630
76	2014	601
77	2033	573
78	2055	546
79	2073	518
80	2101	493
81	2120	465
82	2136	437
83	2172	413
84	2191	386
85	2211	360
86	2229	333
87	2258	307
88	2292	283
89	2330	258
90	2354	232
91	2383	207
92	2420	182
93	2442	155
94	2468	129
95	2490	103
96	2510	77
97	2532	51
98	2550	25
99	2567	0
